   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.10065   0.19253   0.27494   0.10619   0.20138   0.28668
   0.10072   0.19269   0.27523   0.11145   0.21077   0.29926
   0.10064   0.19247   0.27481   0.08814   0.16795   0.24024
   0.10070   0.19263   0.27509   0.11078   0.20958   0.29767
   0.10076   0.19277   0.27534   0.11045   0.20899   0.29688
   0.10079   0.19285   0.27548   0.10625   0.20139   0.28657
   0.10085   0.19298   0.27571   0.10964   0.20756   0.29496
   0.10075   0.19269   0.27515   0.08388   0.15988   0.22879
   0.10055   0.19214   0.27413   0.06799   0.13044   0.18782
   0.10062   0.19231   0.27443   0.11176   0.21133   0.30000
   0.10068   0.19247   0.27472   0.11144   0.21075   0.29922
   0.10074   0.19262   0.27500   0.11111   0.21017   0.29844
   0.10077   0.19268   0.27510   0.10525   0.19959   0.28414
   0.10082   0.19280   0.27532   0.10916   0.20667   0.29374
   0.10085   0.19288   0.27546   0.10638   0.20168   0.28704
   0.10090   0.19300   0.27567   0.10910   0.20658   0.29365
   0.10093   0.19308   0.27580   0.10663   0.20216   0.28771
   0.10094   0.19308   0.27581   0.10201   0.19372   0.27616
   0.10100   0.19324   0.27608   0.11175   0.21129   0.29994
   0.10106   0.19339   0.27635   0.11143   0.21072   0.29918
   0.10111   0.19353   0.27660   0.11111   0.21016   0.29842
   0.10115   0.19361   0.27672   0.10668   0.20215   0.28757
   0.10120   0.19373   0.27695   0.11034   0.20878   0.29658
   0.10123   0.19381   0.27707   0.10678   0.20240   0.28801
   0.10128   0.19392   0.27727   0.10944   0.20717   0.29443
   0.10129   0.19393   0.27728   0.10309   0.19566   0.27876
   0.10110   0.19340   0.27627   0.06793   0.13012   0.18709
   0.10116   0.19355   0.27654   0.11173   0.21126   0.29988
   0.10122   0.19369   0.27679   0.11142   0.21070   0.29914
   0.10127   0.19383   0.27703   0.11111   0.21015   0.29840
   0.10132   0.19396   0.27726   0.11080   0.20960   0.29767
   0.10137   0.19408   0.27747   0.11050   0.20906   0.29694
   0.10142   0.19420   0.27767   0.10978   0.20778   0.29522
   0.10141   0.19416   0.27759   0.09973   0.18955   0.27046
   0.10129   0.19381   0.27694   0.07945   0.15195   0.21813
   0.10129   0.19379   0.27689   0.10041   0.19092   0.27249
   0.10134   0.19393   0.27714   0.11158   0.21098   0.29950
   0.10140   0.19407   0.27738   0.11141   0.21068   0.29910
   0.10145   0.19420   0.27760   0.11111   0.21014   0.29838
   0.10150   0.19432   0.27782   0.11081   0.20961   0.29767
   0.10155   0.19443   0.27801   0.11011   0.20836   0.29599
   0.10159   0.19453   0.27819   0.10927   0.20687   0.29400
   0.10143   0.19407   0.27730   0.07145   0.13637   0.19540
   0.10140   0.19399   0.27716   0.09719   0.18494   0.26416
   0.10143   0.19405   0.27725   0.10587   0.20070   0.28563
   0.10148   0.19418   0.27749   0.11170   0.21119   0.29977
   0.10153   0.19432   0.27772   0.11141   0.21066   0.29907
   0.10158   0.19444   0.27794   0.11111   0.21014   0.29837
   0.10158   0.19440   0.27786   0.10000   0.18975   0.27031
   0.10162   0.19452   0.27806   0.11053   0.20910   0.29697
   0.10167   0.19463   0.27824   0.10997   0.20811   0.29566
   0.10166   0.19458   0.27816   0.09961   0.18932   0.27010
   0.10162   0.19448   0.27796   0.09517   0.18124   0.25909
   0.10153   0.19420   0.27743   0.08307   0.15865   0.22743
   0.10158   0.19433   0.27766   0.11169   0.21116   0.29972
   0.10163   0.19445   0.27787   0.11075   0.20949   0.29749
   0.10167   0.19457   0.27808   0.11111   0.21013   0.29835
   0.10170   0.19463   0.27817   0.10657   0.20188   0.28710
   0.10174   0.19473   0.27834   0.10951   0.20728   0.29453
   0.10160   0.19433   0.27759   0.07513   0.14344   0.20558
   0.10165   0.19443   0.27777   0.10972   0.20765   0.29503
   0.10169   0.19453   0.27794   0.10944   0.20715   0.29436
   0.10168   0.19451   0.27790   0.10115   0.19217   0.27408
   0.10173   0.19464   0.27812   0.11168   0.21113   0.29968
   0.10178   0.19476   0.27833   0.11139   0.21063   0.29901
   0.10183   0.19488   0.27854   0.11111   0.21013   0.29834
   0.10187   0.19498   0.27872   0.11033   0.20873   0.29646
   0.10191   0.19509   0.27890   0.11055   0.20913   0.29701
   0.10195   0.19516   0.27902   0.10802   0.20460   0.29092
   0.10198   0.19523   0.27915   0.10837   0.20524   0.29178
   0.10193   0.19510   0.27889   0.09314   0.17730   0.25335
   0.10181   0.19473   0.27820   0.07612   0.14582   0.20966
   0.10185   0.19485   0.27841   0.11166   0.21110   0.29963
   0.10190   0.19497   0.27862   0.11139   0.21061   0.29898
   0.10194   0.19507   0.27879   0.11037   0.20880   0.29656
   0.10199   0.19518   0.27898   0.11084   0.20963   0.29767
   0.10203   0.19528   0.27916   0.11057   0.20915   0.29702
   0.10202   0.19524   0.27907   0.09963   0.18926   0.26988
   0.10205   0.19533   0.27922   0.10966   0.20753   0.29485
   0.10198   0.19511   0.27881   0.08695   0.16582   0.23737
   0.10198   0.19509   0.27876   0.10097   0.19172   0.27327
   0.10202   0.19521   0.27896   0.11165   0.21108   0.29959
   0.10207   0.19532   0.27915   0.11138   0.21059   0.29895
   0.10211   0.19542   0.27934   0.11111   0.21012   0.29831
   0.10215   0.19553   0.27951   0.11084   0.20964   0.29767
   0.10219   0.19562   0.27968   0.11058   0.20916   0.29703
   0.10223   0.19571   0.27982   0.10947   0.20719   0.29439
   0.10202   0.19512   0.27871   0.05897   0.11315   0.16297
   0.10205   0.19519   0.27884   0.10859   0.20562   0.29229
   0.10191   0.19478   0.27806   0.07155   0.13715   0.19733
   0.10195   0.19489   0.27827   0.11164   0.21105   0.29955
   0.10200   0.19500   0.27846   0.11126   0.21037   0.29864
   0.10204   0.19511   0.27865   0.11111   0.21011   0.29829
   0.10208   0.19521   0.27883   0.11085   0.20964   0.29767
   0.10212   0.19530   0.27899   0.11012   0.20834   0.29592
   0.10216   0.19540   0.27915   0.11033   0.20872   0.29643
   0.10218   0.19544   0.27921   0.10609   0.20106   0.28606
   0.10218   0.19543   0.27918   0.10199   0.19365   0.27603
   0.10208   0.19515   0.27867   0.08182   0.15616   0.22374
   0.10213   0.19526   0.27886   0.11163   0.21103   0.29951
   0.10217   0.19537   0.27905   0.11137   0.21056   0.29889
   0.10194   0.19472   0.27782   0.05266   0.10112   0.14578
   0.10198   0.19482   0.27800   0.11085   0.20965   0.29767
   0.10202   0.19492   0.27817   0.11060   0.20919   0.29706
   0.10193   0.19466   0.27770   0.08287   0.15800   0.22612
   0.10189   0.19453   0.27745   0.09220   0.17544   0.25061
   0.10192   0.19462   0.27760   0.10927   0.20682   0.29388
   0.10196   0.19470   0.27774   0.10913   0.20658   0.29356
   0.10200   0.19480   0.27792   0.11082   0.20957   0.29755
