   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.80830   0.90396   0.93530   0.86533   0.95828   0.98308
   0.80861   0.90438   0.93582   0.84621   0.93844   0.96681
   0.80891   0.90477   0.93628   0.84541   0.93662   0.96449
   0.80872   0.90434   0.93569   0.78598   0.86952   0.89973
   0.80883   0.90431   0.93552   0.82126   0.90175   0.92494
   0.80916   0.90477   0.93607   0.85000   0.94222   0.97008
   0.80767   0.90251   0.93332   0.62369   0.71681   0.76426
   0.80778   0.90260   0.93342   0.82140   0.91007   0.93965
   0.80810   0.90303   0.93395   0.84731   0.93867   0.96640
   0.80843   0.90349   0.93450   0.85069   0.94179   0.96860
   0.80858   0.90377   0.93490   0.82688   0.92661   0.96041
   0.80887   0.90416   0.93538   0.84616   0.93731   0.96504
   0.80930   0.90476   0.93608   0.86412   0.95567   0.98018
   0.80809   0.90299   0.93398   0.65283   0.75241   0.80107
   0.80822   0.90317   0.93423   0.82558   0.91851   0.95055
   0.80844   0.90340   0.93448   0.83643   0.92367   0.94997
   0.80883   0.90397   0.93516   0.85917   0.95268   0.97921
   0.80822   0.90298   0.93390   0.72913   0.81758   0.85303
   0.80849   0.90327   0.93417   0.84310   0.92832   0.95140
   0.80870   0.90349   0.93437   0.83731   0.92271   0.94736
   0.80896   0.90384   0.93481   0.84221   0.93423   0.96352
   0.80881   0.90352   0.93436   0.78949   0.87540   0.90474
   0.80886   0.90356   0.93446   0.81519   0.90733   0.94093
   0.80861   0.90314   0.93400   0.77613   0.86611   0.90351
   0.80854   0.90295   0.93375   0.79822   0.88575   0.91741
   0.80885   0.90338   0.93427   0.85084   0.94175   0.96856
   0.80902   0.90358   0.93451   0.83123   0.92164   0.95079
   0.80926   0.90392   0.93491   0.84185   0.93392   0.96172
   0.80875   0.90306   0.93383   0.74004   0.82631   0.86121
   0.80904   0.90345   0.93427   0.84853   0.93807   0.96390
   0.80924   0.90364   0.93443   0.83645   0.92135   0.94541
   0.80967   0.90426   0.93516   0.86816   0.96033   0.98449
   0.80993   0.90454   0.93542   0.84573   0.93030   0.95311
   0.81019   0.90486   0.93578   0.84601   0.93408   0.96005
   0.81046   0.90522   0.93620   0.84783   0.93805   0.96547
   0.80931   0.90342   0.93399   0.65027   0.73726   0.78194
   0.80972   0.90400   0.93468   0.86586   0.95783   0.98249
   0.80984   0.90416   0.93491   0.82696   0.91902   0.95089
   0.80967   0.90380   0.93445   0.78559   0.87031   0.90243
   0.80990   0.90412   0.93486   0.84246   0.93379   0.96315
   0.81015   0.90444   0.93524   0.84452   0.93488   0.96179
   0.81011   0.90438   0.93521   0.80555   0.89830   0.93308
   0.81034   0.90462   0.93544   0.84211   0.92747   0.95177
   0.81052   0.90487   0.93576   0.83724   0.92874   0.95842
   0.81015   0.90423   0.93496   0.75627   0.84304   0.87792
   0.81050   0.90474   0.93558   0.86128   0.95391   0.98013
   0.81066   0.90495   0.93585   0.83313   0.92431   0.95466
   0.81106   0.90552   0.93652   0.86948   0.96097   0.98490
   0.81102   0.90541   0.93640   0.80464   0.89427   0.92796
   0.81091   0.90514   0.93603   0.79546   0.87935   0.90934
   0.81096   0.90513   0.93601   0.81817   0.90446   0.93405
   0.81093   0.90495   0.93569   0.80655   0.88697   0.91255
   0.81133   0.90552   0.93635   0.86983   0.96111   0.98500
   0.81155   0.90581   0.93671   0.84417   0.93438   0.96312
   0.81195   0.90637   0.93737   0.87045   0.96146   0.98522
   0.81174   0.90592   0.93675   0.78112   0.86114   0.89099
   0.81197   0.90620   0.93708   0.84649   0.93463   0.96183
   0.81117   0.90496   0.93560   0.69133   0.78136   0.82605
   0.81068   0.90416   0.93462   0.73679   0.82432   0.86099
   0.81051   0.90385   0.93423   0.78502   0.87356   0.90558
   0.81052   0.90384   0.93426   0.81188   0.90234   0.93646
   0.81089   0.90438   0.93490   0.86727   0.95865   0.98316
   0.81111   0.90462   0.93514   0.84410   0.92905   0.95306
   0.81111   0.90460   0.93516   0.81152   0.90264   0.93632
   0.80891   0.90126   0.93098   0.47182   0.56154   0.61339
   0.80921   0.90171   0.93154   0.85552   0.94798   0.97483
   0.80940   0.90200   0.93193   0.83972   0.93151   0.96148
   0.80977   0.90254   0.93258   0.86613   0.95803   0.98265
   0.80971   0.90241   0.93244   0.80105   0.88890   0.92149
   0.80910   0.90144   0.93128   0.71330   0.80060   0.84190
   0.80945   0.90197   0.93193   0.86526   0.95724   0.98206
   0.80977   0.90245   0.93253   0.85932   0.95224   0.97887
   0.80952   0.90206   0.93211   0.76976   0.86171   0.89996
   0.80946   0.90197   0.93208   0.79992   0.89280   0.92910
   0.80983   0.90253   0.93274   0.86869   0.96075   0.98484
   0.81016   0.90300   0.93331   0.86226   0.95309   0.97807
   0.81033   0.90321   0.93355   0.83683   0.92503   0.95248
   0.81010   0.90285   0.93316   0.77461   0.86467   0.90200
   0.81025   0.90305   0.93341   0.83364   0.92416   0.95346
