   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.25092   0.43335   0.56621   0.25160   0.43389   0.56663
Max = 
   0.25240   0.43547   0.57535   0.30000   0.52944   0.70396
Min = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
SD = 
   0.00635   0.00789   0.00701   0.04959   0.07970   0.09681
Last = 
   0.25230   0.43508   0.56803   0.26440   0.45526   0.59357

data = 
   0.24665   0.42912   0.56281   0.29578   0.50484   0.65237
   0.24591   0.42728   0.55975   0.15156   0.27100   0.36613
   0.24618   0.42792   0.56080   0.28054   0.48237   0.62754
   0.24578   0.42698   0.55935   0.19467   0.34686   0.46655
   0.24581   0.42706   0.55951   0.25048   0.43430   0.56967
   0.24501   0.42509   0.55629   0.14058   0.25528   0.34971
   0.24451   0.42391   0.55444   0.18008   0.32205   0.43487
   0.24489   0.42481   0.55589   0.29408   0.50247   0.64989
   0.24528   0.42572   0.55735   0.29582   0.50492   0.65248
   0.24568   0.42667   0.55886   0.29915   0.50960   0.65742
   0.24471   0.42424   0.55484   0.11613   0.21174   0.29128
   0.24415   0.42288   0.55262   0.17011   0.30262   0.40682
   0.24454   0.42381   0.55413   0.29663   0.50604   0.65365
   0.24490   0.42466   0.55552   0.29272   0.50038   0.64751
   0.24488   0.42462   0.55550   0.24182   0.42099   0.55430
   0.24432   0.42329   0.55340   0.16917   0.30437   0.41328
   0.24465   0.42409   0.55470   0.28967   0.49563   0.64198
   0.24448   0.42371   0.55417   0.22132   0.38977   0.51864
   0.24472   0.42429   0.55515   0.27720   0.47706   0.62119
   0.24496   0.42489   0.55614   0.27801   0.47858   0.62328
   0.24528   0.42565   0.55737   0.28909   0.49481   0.64109
   0.24557   0.42633   0.55849   0.28524   0.48918   0.63492
   0.24529   0.42567   0.55748   0.20632   0.36508   0.48810
   0.24515   0.42536   0.55705   0.22563   0.39689   0.52753
   0.24542   0.42603   0.55813   0.28387   0.48722   0.63283
   0.24567   0.42661   0.55908   0.27991   0.48063   0.62464
   0.24604   0.42747   0.56045   0.29778   0.50762   0.65527
   0.24515   0.42526   0.55678   0.12057   0.21935   0.30114
   0.24525   0.42552   0.55724   0.25954   0.44968   0.58924
   0.24541   0.42590   0.55785   0.26778   0.46118   0.60119
   0.24576   0.42671   0.55916   0.29509   0.50378   0.65116
   0.24567   0.42652   0.55887   0.23357   0.40784   0.53846
   0.24545   0.42600   0.55808   0.21324   0.37642   0.50208
   0.24429   0.42305   0.55307   0.07752   0.14187   0.19609
   0.24460   0.42380   0.55431   0.28988   0.49617   0.64283
   0.24476   0.42418   0.55495   0.26724   0.46049   0.60054
   0.24509   0.42498   0.55624   0.29424   0.50237   0.64942
   0.24530   0.42549   0.55709   0.27560   0.47468   0.61855
   0.24539   0.42570   0.55746   0.25768   0.44619   0.58443
   0.24521   0.42531   0.55690   0.21990   0.38738   0.51572
   0.24557   0.42615   0.55822   0.29763   0.50738   0.65499
   0.24527   0.42545   0.55717   0.20068   0.35731   0.48017
   0.24556   0.42614   0.55829   0.28880   0.49434   0.64053
   0.24577   0.42665   0.55912   0.27735   0.47671   0.62010
   0.24607   0.42736   0.56025   0.29064   0.49717   0.64381
   0.24643   0.42819   0.56155   0.29992   0.51059   0.65835
   0.24627   0.42783   0.56103   0.22276   0.39241   0.52229
   0.24619   0.42763   0.56072   0.23336   0.40739   0.53772
   0.24625   0.42779   0.56100   0.25652   0.44426   0.58205
   0.24660   0.42860   0.56227   0.29934   0.50977   0.65749
   0.24638   0.42807   0.56144   0.21254   0.37459   0.49885
   0.24623   0.42772   0.56088   0.22386   0.39196   0.51888
   0.24652   0.42840   0.56197   0.29121   0.49794   0.64458
   0.24683   0.42910   0.56308   0.29302   0.50053   0.64737
   0.24636   0.42796   0.56119   0.17492   0.31077   0.41722
   0.24670   0.42875   0.56244   0.29976   0.51034   0.65807
   0.24688   0.42918   0.56314   0.27476   0.47320   0.61664
   0.24692   0.42926   0.56329   0.25168   0.43768   0.57554
   0.24680   0.42899   0.56289   0.22835   0.40089   0.53193
   0.24688   0.42919   0.56324   0.25939   0.44972   0.58971
   0.24720   0.42994   0.56441   0.29841   0.50844   0.65607
   0.24710   0.42970   0.56403   0.23133   0.40425   0.53411
   0.24742   0.43043   0.56518   0.29803   0.50787   0.65544
   0.24764   0.43093   0.56596   0.28145   0.48321   0.62790
   0.24721   0.42989   0.56428   0.17994   0.32054   0.43114
   0.24754   0.43065   0.56545   0.29984   0.51044   0.65815
   0.24774   0.43112   0.56620   0.28030   0.48147   0.62592
   0.24751   0.43057   0.56534   0.21056   0.37200   0.49646
   0.24715   0.42970   0.56395   0.18909   0.33679   0.45281
   0.24709   0.42952   0.56363   0.23665   0.41026   0.53836
   0.24650   0.42808   0.56127   0.15069   0.27219   0.37101
   0.24671   0.42859   0.56209   0.28175   0.48379   0.62871
   0.24654   0.42818   0.56148   0.21827   0.38439   0.51158
   0.24681   0.42881   0.56248   0.29085   0.49737   0.64390
   0.24705   0.42938   0.56339   0.28663   0.49128   0.63733
   0.24631   0.42752   0.56029   0.12371   0.22448   0.30746
   0.24661   0.42823   0.56141   0.29660   0.50586   0.65330
   0.24672   0.42851   0.56187   0.26596   0.45886   0.59907
   0.24623   0.42732   0.55995   0.16464   0.29610   0.40195
   0.24653   0.42801   0.56105   0.29573   0.50461   0.65196
   0.24683   0.42870   0.56214   0.29634   0.50546   0.65285
   0.24635   0.42754   0.56027   0.16652   0.29851   0.40409
   0.24666   0.42827   0.56142   0.29948   0.50990   0.65755
   0.24659   0.42809   0.56112   0.23499   0.40796   0.53603
   0.24648   0.42785   0.56077   0.22758   0.40021   0.53177
   0.24679   0.42857   0.56191   0.29978   0.51031   0.65797
   0.24696   0.42896   0.56254   0.27419   0.47239   0.61579
   0.24686   0.42872   0.56217   0.23048   0.40222   0.53088
   0.24653   0.42794   0.56094   0.18987   0.33852   0.45558
   0.24635   0.42748   0.56017   0.21577   0.37560   0.49485
   0.24640   0.42760   0.56038   0.25486   0.44138   0.57837
   0.24669   0.42828   0.56145   0.29689   0.50624   0.65367
   0.24699   0.42898   0.56255   0.29885   0.50899   0.65657
   0.24686   0.42866   0.56205   0.22407   0.39208   0.51885
   0.24687   0.42870   0.56213   0.24907   0.43286   0.56898
   0.24709   0.42923   0.56297   0.28621   0.49057   0.63643
   0.24739   0.42990   0.56403   0.29858   0.50860   0.65615
   0.24738   0.42989   0.56403   0.24595   0.42807   0.56344
   0.24718   0.42938   0.56319   0.21161   0.37026   0.48986
   0.24747   0.43006   0.56425   0.29944   0.50980   0.65742
   0.24766   0.43049   0.56494   0.28028   0.48134   0.62564
