   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.80018   0.89580   0.93129   0.74662   0.83947   0.87968
   0.80068   0.89656   0.93215   0.85628   0.95201   0.97986
   0.80045   0.89616   0.93170   0.77455   0.86642   0.90633
   0.79897   0.89392   0.92901   0.63300   0.72803   0.78008
   0.79942   0.89459   0.92976   0.85044   0.94433   0.97149
   0.79856   0.89331   0.92829   0.70143   0.79709   0.84618
   0.79899   0.89394   0.92901   0.84770   0.94158   0.96932
   0.79940   0.89452   0.92966   0.84563   0.93855   0.96627
   0.79985   0.89520   0.93045   0.85196   0.94710   0.97531
   0.80028   0.89582   0.93113   0.84946   0.94279   0.97018
   0.79980   0.89506   0.93022   0.74407   0.83712   0.87772
   0.80016   0.89558   0.93080   0.84152   0.93498   0.96425
   0.79983   0.89508   0.93024   0.76143   0.85639   0.89807
   0.80017   0.89551   0.93066   0.84074   0.92948   0.95476
   0.80035   0.89572   0.93086   0.82119   0.91182   0.94260
   0.80070   0.89625   0.93151   0.84167   0.93797   0.96938
   0.80099   0.89669   0.93205   0.83592   0.93150   0.96371
   0.80087   0.89657   0.93198   0.78640   0.88663   0.92816
   0.80119   0.89701   0.93248   0.83958   0.93231   0.96197
   0.80053   0.89597   0.93118   0.72075   0.81295   0.85375
   0.80084   0.89640   0.93165   0.83874   0.93087   0.95977
   0.80114   0.89684   0.93218   0.83673   0.93233   0.96441
   0.80068   0.89612   0.93130   0.74539   0.83770   0.87778
   0.80048   0.89581   0.93098   0.77551   0.87076   0.91183
   0.80068   0.89612   0.93137   0.82632   0.92130   0.95529
   0.80085   0.89638   0.93171   0.82136   0.91739   0.95211
   0.79869   0.89308   0.92755   0.53196   0.62274   0.67265
   0.79822   0.89233   0.92663   0.73956   0.83083   0.87047
   0.79843   0.89268   0.92710   0.82530   0.92143   0.95564
   0.79887   0.89336   0.92790   0.85329   0.94964   0.97794
   0.79920   0.89389   0.92856   0.84048   0.93786   0.96959
   0.79944   0.89419   0.92885   0.83004   0.91910   0.94674
   0.79966   0.89452   0.92928   0.82677   0.92231   0.95620
   0.79903   0.89355   0.92815   0.71990   0.81248   0.85736
   0.79842   0.89264   0.92705   0.72061   0.81504   0.85734
   0.79875   0.89317   0.92772   0.84066   0.93823   0.96996
   0.79815   0.89226   0.92661   0.72074   0.81434   0.85606
   0.79741   0.89119   0.92536   0.70232   0.79982   0.84542
   0.79665   0.89006   0.92406   0.69779   0.79288   0.84038
   0.79615   0.88935   0.92327   0.73103   0.82809   0.87250
   0.79657   0.89004   0.92412   0.85200   0.95002   0.97887
   0.79696   0.89067   0.92490   0.84753   0.94574   0.97573
   0.79688   0.89058   0.92483   0.78646   0.88214   0.92059
   0.79725   0.89116   0.92551   0.84689   0.94182   0.96969
   0.79666   0.89030   0.92455   0.71852   0.81464   0.86124
   0.79695   0.89079   0.92518   0.83530   0.93425   0.96700
   0.79727   0.89129   0.92578   0.84030   0.93587   0.96566
   0.79634   0.88979   0.92385   0.67138   0.75641   0.79513
   0.79666   0.89031   0.92448   0.83963   0.93626   0.96717
   0.79698   0.89082   0.92512   0.84022   0.93673   0.96753
   0.79721   0.89116   0.92552   0.82794   0.92185   0.95230
