   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.23220   0.41023   0.54551   0.25000   0.43813   0.57954
   0.23231   0.41049   0.54595   0.24917   0.43688   0.57813
   0.23242   0.41074   0.54635   0.24818   0.43538   0.57644
   0.23212   0.40998   0.54511   0.18655   0.33442   0.45201
   0.23220   0.41019   0.54544   0.24539   0.43058   0.57024
   0.23218   0.41011   0.54530   0.22787   0.40196   0.53511
   0.23228   0.41035   0.54570   0.24779   0.43478   0.57574
   0.23211   0.40994   0.54504   0.20692   0.36843   0.49475
   0.23221   0.41016   0.54541   0.24675   0.43302   0.57352
   0.23232   0.41042   0.54583   0.24919   0.43689   0.57813
   0.23226   0.41027   0.54558   0.22339   0.39467   0.52619
   0.23220   0.41011   0.54533   0.22235   0.39390   0.52640
   0.23231   0.41038   0.54577   0.25000   0.43810   0.57948
   0.23242   0.41063   0.54618   0.24920   0.43690   0.57813
   0.23252   0.41087   0.54656   0.24793   0.43498   0.57596
   0.23223   0.41016   0.54539   0.18762   0.33618   0.45419
   0.23234   0.41041   0.54580   0.24937   0.43713   0.57836
   0.23245   0.41066   0.54620   0.24897   0.43655   0.57773
   0.23253   0.41087   0.54655   0.24654   0.43281   0.57341
   0.23240   0.41054   0.54602   0.21168   0.37622   0.50436
   0.23249   0.41073   0.54633   0.24570   0.43106   0.57081
   0.23253   0.41082   0.54647   0.23894   0.42019   0.55767
   0.23256   0.41091   0.54660   0.23859   0.41971   0.55720
   0.23246   0.41066   0.54620   0.21656   0.38418   0.51414
   0.23257   0.41091   0.54660   0.24961   0.43750   0.57877
   0.23265   0.41109   0.54689   0.24538   0.43064   0.57040
   0.23259   0.41093   0.54663   0.22270   0.39360   0.52495
   0.23232   0.41025   0.54549   0.18869   0.33675   0.45335
   0.23243   0.41050   0.54590   0.24985   0.43784   0.57916
   0.23245   0.41054   0.54595   0.23617   0.41492   0.55023
   0.23250   0.41066   0.54615   0.24076   0.42374   0.56274
   0.23248   0.41060   0.54606   0.22863   0.40387   0.53827
   0.23258   0.41085   0.54646   0.25000   0.43807   0.57940
   0.23258   0.41082   0.54639   0.23161   0.40744   0.54098
   0.23253   0.41070   0.54621   0.22567   0.39840   0.53076
   0.23213   0.40966   0.54443   0.16381   0.29350   0.39669
   0.23223   0.40991   0.54484   0.25000   0.43806   0.57939
   0.23232   0.41013   0.54520   0.24777   0.43463   0.57541
   0.23238   0.41026   0.54542   0.24157   0.42486   0.56387
   0.23199   0.40928   0.54376   0.16637   0.29868   0.40438
   0.23210   0.40953   0.54418   0.25000   0.43805   0.57937
   0.23220   0.40977   0.54458   0.24919   0.43684   0.57800
   0.23229   0.40999   0.54494   0.24773   0.43464   0.57552
   0.23218   0.40972   0.54451   0.21327   0.37912   0.50833
   0.23228   0.40996   0.54492   0.25000   0.43805   0.57936
   0.23238   0.41020   0.54530   0.24920   0.43685   0.57800
   0.23247   0.41042   0.54566   0.24834   0.43554   0.57653
   0.23226   0.40989   0.54480   0.19582   0.34955   0.47059
   0.23236   0.41013   0.54519   0.25000   0.43804   0.57934
   0.23246   0.41036   0.54557   0.24928   0.43696   0.57813
   0.23254   0.41057   0.54591   0.24779   0.43470   0.57557
   0.23238   0.41018   0.54528   0.20427   0.36443   0.49029
   0.23248   0.41041   0.54566   0.25000   0.43803   0.57933
   0.23258   0.41064   0.54603   0.24929   0.43697   0.57813
   0.23264   0.41079   0.54628   0.24407   0.42877   0.56847
   0.23253   0.41051   0.54583   0.21204   0.37730   0.50635
   0.23262   0.41074   0.54621   0.25000   0.43803   0.57932
   0.23272   0.41096   0.54657   0.24930   0.43697   0.57813
   0.23281   0.41117   0.54690   0.24853   0.43582   0.57683
   0.23257   0.41059   0.54596   0.19109   0.34222   0.46211
   0.23267   0.41082   0.54633   0.25000   0.43802   0.57930
   0.23270   0.41088   0.54641   0.23767   0.41760   0.55375
   0.23271   0.41090   0.54645   0.23494   0.41379   0.55000
   0.23263   0.41071   0.54615   0.21853   0.38765   0.51875
   0.23273   0.41094   0.54651   0.25000   0.43802   0.57929
   0.23282   0.41115   0.54686   0.24932   0.43699   0.57813
   0.23286   0.41125   0.54702   0.24037   0.42292   0.56153
   0.23263   0.41066   0.54605   0.19005   0.33983   0.45827
   0.23272   0.41089   0.54641   0.25000   0.43801   0.57928
   0.23281   0.41109   0.54675   0.24905   0.43658   0.57766
   0.23272   0.41086   0.54635   0.21561   0.38162   0.50973
   0.23267   0.41073   0.54615   0.22338   0.39534   0.52786
   0.23276   0.41095   0.54651   0.25000   0.43801   0.57926
   0.23285   0.41116   0.54684   0.24926   0.43690   0.57801
   0.23293   0.41134   0.54714   0.24739   0.43406   0.57479
   0.23275   0.41091   0.54645   0.19987   0.35730   0.48167
   0.23284   0.41113   0.54679   0.25000   0.43800   0.57925
   0.23293   0.41133   0.54712   0.24934   0.43700   0.57813
   0.23301   0.41152   0.54743   0.24815   0.43521   0.57610
   0.23266   0.41063   0.54592   0.16708   0.29925   0.40429
   0.23275   0.41085   0.54627   0.25000   0.43799   0.57924
   0.23283   0.41104   0.54658   0.24783   0.43468   0.57544
   0.23291   0.41123   0.54690   0.24863   0.43593   0.57691
   0.23273   0.41078   0.54617   0.19804   0.35382   0.47675
   0.23282   0.41099   0.54651   0.25000   0.43799   0.57923
   0.23283   0.41101   0.54653   0.23448   0.41281   0.54852
   0.23281   0.41094   0.54641   0.22785   0.40202   0.53533
   0.23279   0.41090   0.54637   0.23010   0.40650   0.54181
   0.23288   0.41111   0.54670   0.25000   0.43798   0.57922
   0.23293   0.41122   0.54687   0.24184   0.42485   0.56333
   0.23256   0.41028   0.54526   0.16224   0.28917   0.38895
   0.23260   0.41036   0.54540   0.23907   0.42073   0.55877
   0.23269   0.41057   0.54574   0.25000   0.43798   0.57921
   0.23277   0.41077   0.54607   0.24936   0.43702   0.57813
   0.23276   0.41075   0.54603   0.23109   0.40730   0.54179
   0.23258   0.41029   0.54527   0.19595   0.34978   0.47097
   0.23266   0.41050   0.54561   0.25000   0.43797   0.57919
   0.23275   0.41070   0.54594   0.24937   0.43703   0.57813
   0.23280   0.41081   0.54613   0.24227   0.42594   0.56514
   0.23271   0.41061   0.54581   0.21623   0.38377   0.51382
   0.23280   0.41081   0.54614   0.25000   0.43797   0.57918
   0.23288   0.41101   0.54646   0.24931   0.43694   0.57802
   0.23296   0.41118   0.54674   0.24782   0.43468   0.57546
   0.23279   0.41079   0.54611   0.20043   0.35820   0.48272
   0.23288   0.41099   0.54644   0.25000   0.43797   0.57917
   0.23294   0.41113   0.54666   0.24469   0.42965   0.56941
   0.23297   0.41121   0.54680   0.24002   0.42230   0.56072
   0.23288   0.41099   0.54643   0.21486   0.38088   0.50938
   0.23297   0.41119   0.54675   0.25000   0.43796   0.57916
   0.23305   0.41137   0.54706   0.24933   0.43695   0.57802
   0.23312   0.41155   0.54735   0.24854   0.43576   0.57668
   0.23291   0.41102   0.54646   0.18881   0.33783   0.45590
   0.23299   0.41121   0.54678   0.25000   0.43796   0.57915
   0.23307   0.41140   0.54708   0.24939   0.43705   0.57813
   0.23314   0.41156   0.54733   0.24674   0.43300   0.57351
