   ID       GA1       GA2       GA3
  698    0.8026    0.8933    0.9264
  699    0.8027    0.8935    0.9267
  700    0.8028    0.8936    0.9268
  701    0.8029    0.8938    0.9270
  702    0.8029    0.8938    0.9271
  703    0.8027    0.8934    0.9266
  704    0.8028    0.8936    0.9267
  705    0.8025    0.8932    0.9263
  706    0.8026    0.8934    0.9265
  707    0.8028    0.8936    0.9268
  708    0.8022    0.8928    0.9258
  709    0.8024    0.8930    0.9261
  710    0.8025    0.8933    0.9264
  711    0.8026    0.8934    0.9265
  712    0.8026    0.8934    0.9265
  713    0.8027    0.8935    0.9267
  714    0.8029    0.8938    0.9269
  715    0.8028    0.8937    0.9269
  716    0.8029    0.8939    0.9271
  717    0.8029    0.8939    0.9272
  718    0.8028    0.8938    0.9271
  719    0.8026    0.8934    0.9266
  720    0.8027    0.8936    0.9268
  721    0.8027    0.8936    0.9268
  722    0.8025    0.8934    0.9266
  723    0.8026    0.8936    0.9268
  724    0.8023    0.8931    0.9262
  725    0.8024    0.8933    0.9265
  726    0.8024    0.8933    0.9265
  727    0.8022    0.8929    0.9261
  728    0.8023    0.8931    0.9263
  729    0.8025    0.8933    0.9266
  730    0.8026    0.8935    0.9268
  731    0.8026    0.8935    0.9268
  732    0.8022    0.8930    0.9262
  733    0.8021    0.8928    0.9260
  734    0.8015    0.8920    0.9250
  735    0.8016    0.8921    0.9252
  736    0.8018    0.8923    0.9254
  737    0.8016    0.8921    0.9251
  738    0.8017    0.8923    0.9253
  739    0.8018    0.8924    0.9255
  740    0.8019    0.8926    0.9257
  741    0.8018    0.8924    0.9255
  742    0.8018    0.8925    0.9256
  743    0.8011    0.8914    0.9242
  744    0.8009    0.8911    0.9240
  745    0.8010    0.8912    0.9241
  746    0.8011    0.8914    0.9243
  747    0.8011    0.8914    0.9243
  748    0.8012    0.8916    0.9245
  749    0.8013    0.8917    0.9247
  750    0.8012    0.8916    0.9246
  751    0.8011    0.8915    0.9245
  752    0.8010    0.8913    0.9243
  753    0.8011    0.8915    0.9245
  754    0.8012    0.8917    0.9248
  755    0.8010    0.8914    0.9244
  756    0.8012    0.8916    0.9247
  757    0.8013    0.8918    0.9249
  758    0.8014    0.8920    0.9251
  759    0.8014    0.8920    0.9252
  760    0.8015    0.8921    0.9253
  761    0.8016    0.8923    0.9255
  762    0.8017    0.8925    0.9258
  763    0.8018    0.8926    0.9259
  764    0.8016    0.8924    0.9257
  765    0.8018    0.8927    0.9260
  766    0.8019    0.8928    0.9262
  767    0.8019    0.8928    0.9261
  768    0.8019    0.8928    0.9262
  769    0.8020    0.8930    0.9264
  770    0.8021    0.8932    0.9266
  771    0.8020    0.8930    0.9265
  772    0.8018    0.8927    0.9261
  773    0.8014    0.8921    0.9254
  774    0.8015    0.8924    0.9257
