   ID       GA1       GA2       GA3
  590    0.7399    0.8425    0.8927
  591    0.7392    0.8412    0.8908
  592    0.7395    0.8416    0.8913
  593    0.7391    0.8410    0.8907
  594    0.7388    0.8405    0.8901
  595    0.7390    0.8410    0.8907
  596    0.7384    0.8396    0.8888
  597    0.7380    0.8391    0.8883
  598    0.7377    0.8385    0.8877
  599    0.7379    0.8390    0.8883
  600    0.7382    0.8395    0.8889
  601    0.7385    0.8399    0.8894
  602    0.7381    0.8394    0.8889
  603    0.7384    0.8399    0.8894
  604    0.7386    0.8403    0.8900
  605    0.7389    0.8408    0.8906
  606    0.7391    0.8412    0.8911
  607    0.7394    0.8417    0.8917
  608    0.7396    0.8421    0.8922
  609    0.7390    0.8408    0.8904
  610    0.7392    0.8413    0.8910
  611    0.7389    0.8407    0.8904
  612    0.7391    0.8412    0.8909
  613    0.7385    0.8399    0.8891
  614    0.7388    0.8404    0.8897
  615    0.7390    0.8408    0.8903
  616    0.7393    0.8413    0.8908
  617    0.7395    0.8417    0.8914
  618    0.7389    0.8405    0.8896
  619    0.7391    0.8409    0.8901
  620    0.7385    0.8397    0.8884
  621    0.7388    0.8401    0.8889
  622    0.7384    0.8396    0.8884
  623    0.7387    0.8400    0.8889
  624    0.7389    0.8405    0.8895
  625    0.7386    0.8399    0.8889
  626    0.7388    0.8404    0.8894
  627    0.7385    0.8398    0.8889
  628    0.7381    0.8393    0.8883
  629    0.7384    0.8397    0.8889
  630    0.7386    0.8402    0.8894
  631    0.7380    0.8390    0.8877
  632    0.7377    0.8384    0.8871
  633    0.7379    0.8389    0.8877
  634    0.7376    0.8384    0.8871
  635    0.7372    0.8378    0.8866
  636    0.7375    0.8383    0.8872
  637    0.7372    0.8378    0.8866
  638    0.7368    0.8373    0.8861
  639    0.7371    0.8377    0.8867
  640    0.7373    0.8382    0.8872
  641    0.7370    0.8377    0.8867
  642    0.7372    0.8381    0.8872
  643    0.7375    0.8385    0.8878
  644    0.7377    0.8390    0.8883
  645    0.7374    0.8385    0.8878
  646    0.7371    0.8380    0.8873
  647    0.7373    0.8384    0.8878
  648    0.7376    0.8388    0.8884
  649    0.7378    0.8393    0.8889
  650    0.7380    0.8397    0.8894
  651    0.7374    0.8385    0.8877
  652    0.7371    0.8380    0.8872
  653    0.7373    0.8384    0.8878
  654    0.7370    0.8379    0.8873
  655    0.7373    0.8384    0.8878
  656    0.7375    0.8388    0.8883
  657    0.7372    0.8383    0.8878
  658    0.7374    0.8387    0.8883
  659    0.7371    0.8383    0.8878
  660    0.7373    0.8387    0.8884
  661    0.7368    0.8375    0.8867
  662    0.7370    0.8379    0.8872
  663    0.7372    0.8384    0.8878
  664    0.7374    0.8388    0.8883
  665    0.7371    0.8383    0.8878
  666    0.7374    0.8387    0.8883
  667    0.7376    0.8391    0.8888
  668    0.7370    0.8380    0.8872
  669    0.7372    0.8384    0.8877
  670    0.7375    0.8388    0.8882
  671    0.7377    0.8392    0.8888
  672    0.7374    0.8387    0.8882
  673    0.7376    0.8392    0.8888
  674    0.7373    0.8387    0.8883
  675    0.7376    0.8391    0.8888
  676    0.7378    0.8395    0.8893
  677    0.7375    0.8390    0.8888
  678    0.7377    0.8394    0.8893
  679    0.7374    0.8390    0.8888
  680    0.7371    0.8385    0.8883
  681    0.7368    0.8380    0.8878
  682    0.7365    0.8376    0.8873
  683    0.7362    0.8371    0.8869
  684    0.7356    0.8360    0.8853
  685    0.7354    0.8356    0.8848
  686    0.7356    0.8360    0.8854
  687    0.7353    0.8356    0.8849
  688    0.7350    0.8351    0.8845
  689    0.7352    0.8355    0.8850
  690    0.7345    0.8341    0.8828
  691    0.7348    0.8345    0.8833
  692    0.7350    0.8349    0.8838
  693    0.7352    0.8353    0.8844
  694    0.7349    0.8349    0.8839
  695    0.7351    0.8353    0.8844
  696    0.7354    0.8357    0.8850
  697    0.7356    0.8361    0.8855
  698    0.7353    0.8357    0.8850
  699    0.7350    0.8353    0.8846
  700    0.7352    0.8357    0.8851
  701    0.7350    0.8352    0.8847
  702    0.7352    0.8356    0.8852
  703    0.7354    0.8360    0.8857
  704    0.7356    0.8364    0.8862
  705    0.7358    0.8368    0.8867
  706    0.7360    0.8372    0.8872
  707    0.7363    0.8376    0.8877
  708    0.7356    0.8362    0.8856
  709    0.7358    0.8366    0.8861
  710    0.7360    0.8370    0.8866
  711    0.7363    0.8374    0.8870
  712    0.7356    0.8360    0.8849
  713    0.7353    0.8356    0.8845
  714    0.7348    0.8345    0.8830
  715    0.7350    0.8349    0.8835
  716    0.7352    0.8353    0.8840
  717    0.7349    0.8349    0.8836
  718    0.7351    0.8353    0.8841
  719    0.7349    0.8349    0.8836
  720    0.7351    0.8353    0.8841
  721    0.7348    0.8349    0.8837
  722    0.7345    0.8344    0.8833
  723    0.7348    0.8348    0.8838
  724    0.7350    0.8352    0.8843
  725    0.7347    0.8348    0.8839
  726    0.7349    0.8352    0.8844
  727    0.7346    0.8348    0.8840
  728    0.7348    0.8352    0.8845
  729    0.7346    0.8348    0.8840
  730    0.7348    0.8352    0.8845
  731    0.7350    0.8356    0.8850
  732    0.7347    0.8352    0.8846
